feature,score,category
hour_cos,4,BASE
logret_240h,1,BASE
vol_ratio_12_48,1,BASE
stoch_k_14h,1,BASE
m_vix_chg5d,1,MACRO
price_accel_24h,1,BASE
fg_ma5d,1,SENTIMENT
m_us10y_vol5d,1,MACRO
xa_nasdaq_corr30d,1,CROSS-ASSET
xa_dax_relstr5d,1,CROSS-ASSET
price_to_sma50h,0,BASE
zscore_50h,0,BASE
spread_48h_4h,0,BASE
logret_48h,0,BASE
spread_24h_4h,0,BASE
hour_sin,0,BASE
logret_12h,0,BASE
spread_240h_24h,0,BASE
logret_6h,0,BASE
logret_2h,0,BASE
m_nasdaq_chg1d,0,MACRO
xa_sp500_relstr5d,0,CROSS-ASSET
dow_cos,-2,BASE
price_velocity_1h,-2,BASE
logret_24h,-2,BASE
logret_4h,-2,BASE
spread_120h_8h,-2,BASE
m_vix_zscore,-2,MACRO
m_dxy_zscore,-2,MACRO
volume_ratio_h,-2,BASE
m_vix_chg1d,-2,MACRO
m_eurusd_zscore,-2,MACRO
m_oil_chg10d,-2,MACRO
vix_high,-2,BASE
vix_spike,-2,SENTIMENT
m_us10y_vol20d,-2,MACRO
fg_extreme_greed,-2,SENTIMENT
fg_extreme_fear,-2,SENTIMENT
fg_ma20d,-2,SENTIMENT
xa_sp500_corr10d,-2,CROSS-ASSET
fg_zscore,-2,SENTIMENT
xa_dax_corr30d,-2,CROSS-ASSET
xa_sp500_corr30d,-2,CROSS-ASSET
vix_extreme,-2,BASE
m_nasdaq_chg10d,-2,MACRO
m_gold_vol5d,-2,MACRO
m_gold_chg5d,-2,MACRO
m_gold_zscore,-2,MACRO
m_oil_zscore,-2,MACRO
m_usdjpy_vol20d,-2,MACRO
m_usdjpy_zscore,-2,MACRO
m_eurusd_vol5d,-2,MACRO
m_nasdaq_zscore,-2,MACRO
m_nasdaq_vol20d,-2,MACRO
dow_sin,-2,BASE
logret_120h,-2,BASE
m_dxy_chg5d,-2,MACRO
m_sp500_zscore,-2,MACRO
m_vix_chg10d,-2,MACRO
logret_72h,-2,BASE
volatility_12h,-3,BASE
spread_120h_12h,-3,BASE
sma20_to_sma50h,-3,BASE
price_to_sma100h,-3,BASE
rsi_14h,-3,BASE
logret_8h,-3,BASE
logret_3h,-3,BASE
spread_48h_12h,-3,BASE
atr_pct_14h,-3,BASE
bb_position_20h,-3,BASE
volatility_48h,-3,BASE
price_accel_4h,-3,BASE
intraday_range,-3,BASE
m_oil_chg1d,-3,MACRO
xa_eth_usd_relstr5d,-3,CROSS-ASSET
price_accel_12h,-3,BASE
xa_nasdaq_relstr5d,-3,CROSS-ASSET
m_sp500_vol5d,-5,MACRO
m_sp500_chg5d,-5,MACRO
m_sp500_chg10d,-5,MACRO
m_dxy_vol20d,-5,MACRO
m_dxy_vol5d,-5,MACRO
m_dxy_chg10d,-5,MACRO
m_sp500_chg1d,-5,MACRO
m_vix_vol5d,-5,MACRO
m_vix_vol20d,-5,MACRO
price_accel_1h,-5,BASE
price_jerk_1h,-5,BASE
price_velocity_4h,-5,BASE
price_to_sma20h,-5,BASE
logret_1h,-5,BASE
m_dxy_chg1d,-5,MACRO
m_usdjpy_chg10d,-5,MACRO
m_usdjpy_vol5d,-5,MACRO
m_usdjpy_chg1d,-5,MACRO
m_usdjpy_chg5d,-5,MACRO
m_eurusd_vol20d,-5,MACRO
m_eurusd_chg1d,-5,MACRO
m_eurusd_chg5d,-5,MACRO
m_eurusd_chg10d,-5,MACRO
m_us10y_chg10d,-5,MACRO
m_nasdaq_chg5d,-5,MACRO
m_gold_chg1d,-5,MACRO
m_gold_chg10d,-5,MACRO
m_gold_vol20d,-5,MACRO
m_us10y_zscore,-5,MACRO
m_us10y_chg1d,-5,MACRO
m_us10y_chg5d,-5,MACRO
m_sp500_vol20d,-5,MACRO
m_nasdaq_vol5d,-5,MACRO
fg_chg10d,-5,SENTIMENT
fg_chg5d,-5,SENTIMENT
vix_rising_5d,-5,BASE
m_oil_vol20d,-5,MACRO
vix_low,-5,BASE
vix_normal,-5,BASE
m_oil_chg5d,-5,MACRO
m_oil_vol5d,-5,MACRO
fg_chg1d,-5,SENTIMENT
fg_value,-5,SENTIMENT
xa_nasdaq_corr10d,-5,CROSS-ASSET
xa_eth_usd_corr30d,-5,CROSS-ASSET
xa_eth_usd_corr10d,-5,CROSS-ASSET
xa_dax_corr10d,-5,CROSS-ASSET
