feature,score
rsi_14h,4
hour_cos,4
hour_sin,3
sma20_to_sma50h,1
logret_72h,1
m_sp500_chg5d,1
m_dxy_vol5d,1
xa_dax_corr30d,1
xa_dax_relstr5d,1
fg_chg5d,1
m_us10y_chg10d,1
m_eurusd_vol5d,1
m_eurusd_chg5d,1
vix_spike,1
volume_ratio_h,0
logret_24h,0
spread_240h_24h,0
logret_6h,0
logret_4h,0
m_sp500_chg1d,0
intraday_range,0
fg_chg1d,0
volatility_48h,0
logret_8h,0
logret_1h,0
m_vix_chg1d,-2
volatility_12h,-2
m_vix_chg5d,-2
stoch_k_14h,-2
m_sp500_vol5d,-2
m_sp500_chg10d,-2
m_dxy_chg1d,-2
m_dxy_vol20d,-2
fg_extreme_fear,-2
fg_ma20d,-2
m_usdjpy_chg10d,-2
m_usdjpy_vol5d,-2
m_gold_chg5d,-2
m_us10y_chg5d,-2
m_us10y_chg1d,-2
m_us10y_zscore,-2
m_gold_zscore,-2
m_us10y_vol20d,-2
m_eurusd_chg1d,-2
m_eurusd_chg10d,-2
fg_chg10d,-2
fg_value,-2
vix_extreme,-2
xa_eth_usd_corr30d,-2
logret_120h,-2
vol_ratio_12_48,-2
logret_240h,-2
spread_24h_4h,-2
xa_sp500_relstr5d,-2
xa_sp500_corr10d,-2
fg_extreme_greed,-2
xa_eth_usd_corr10d,-2
m_oil_vol5d,-2
m_oil_vol20d,-2
m_usdjpy_zscore,-2
m_eurusd_vol20d,-2
m_oil_chg1d,-2
vix_high,-2
m_oil_chg10d,-2
m_eurusd_zscore,-2
m_us10y_vol5d,-2
m_usdjpy_chg1d,-2
xa_eth_usd_relstr5d,-3
xa_nasdaq_relstr5d,-3
logret_12h,-3
spread_48h_4h,-3
spread_120h_8h,-3
spread_48h_12h,-3
spread_120h_12h,-3
logret_3h,-3
logret_2h,-3
logret_48h,-3
m_nasdaq_chg1d,-3
price_to_sma50h,-3
price_to_sma100h,-3
zscore_50h,-3
bb_position_20h,-3
atr_pct_14h,-3
price_to_sma20h,-5
dow_sin,-5
m_dxy_chg10d,-5
m_sp500_zscore,-5
m_dxy_zscore,-5
m_vix_chg10d,-5
m_vix_vol5d,-5
m_vix_vol20d,-5
m_dxy_chg5d,-5
m_vix_zscore,-5
dow_cos,-5
m_nasdaq_vol20d,-5
m_nasdaq_chg10d,-5
m_gold_vol20d,-5
m_gold_chg1d,-5
m_nasdaq_vol5d,-5
m_nasdaq_zscore,-5
m_sp500_vol20d,-5
m_oil_zscore,-5
m_usdjpy_vol20d,-5
m_usdjpy_chg5d,-5
m_nasdaq_chg5d,-5
m_gold_vol5d,-5
m_gold_chg10d,-5
m_oil_chg5d,-5
vix_normal,-5
fg_zscore,-5
vix_rising_5d,-5
vix_low,-5
fg_ma5d,-5
xa_nasdaq_corr10d,-5
xa_nasdaq_corr30d,-5
xa_sp500_corr30d,-5
xa_dax_corr10d,-5
