date,active_addresses,mvrv,fees_native,exchange_inflow,exchange_outflow,hashrate,tx_count,exchange_netflow,sopr
2022-01-01,695722,1.941966039424,9.18982843,15262.18634378,17038.35705531,207532476.14266497,188065,-1776.1707115299996,
2022-01-02,734444,1.933497096507,9.17683366,10951.30257108,9472.13857127,190640298.17523527,194826,1479.16399981,
2022-01-03,948843,1.897502355497,11.99030933,23410.19086715,16811.81159831,168921783.14925957,241163,6598.379268839999,
2022-01-04,971141,1.876886228678,13.19630276,27537.83883403,28242.35665408,177367872.13297442,274049,-704.5178200499977,
2022-01-05,1023484,1.782277170897,16.5224742,26123.91807792,27766.00135772,180987625.7956245,274757,-1642.083279800001,
2022-01-06,937879,1.768057798633,14.40247818,31196.02335878,27991.92398956,176161288.73707852,258406,3204.099369219999,
2022-01-07,961733,1.704571291459,14.27397318,33985.79444225,28246.67386344,168921783.14925957,255659,5739.1205788100015,
2022-01-08,823193,1.71699299406,9.80082014,16385.79109848,15388.41209423,174267690.69443852,226064,997.3790042500004,
2022-01-09,734904,1.72082066082,7.54621252,13689.69288183,11610.22591123,170826077.22420472,203966,2079.4669706000004,
2022-01-10,977953,1.718638590786,11.51428992,26663.61061751,26972.94662732,172037608.9072826,269292,-309.336009810002,
2022-01-11,973363,1.758039861455,12.45257517,24452.99252202,36959.58541657,191422128.04877573,285302,-12506.592894550002,
2022-01-12,958871,1.805597050184,11.06096283,24765.05354909,21593.77328452,168403012.11344224,266587,3171.2802645699994,
2022-01-13,943218,1.752041588022,10.52434377,31033.03702096,26996.88508734,216864310.8394785,276789,4036.15193362,
2022-01-14,959705,1.771675205411,9.33427454,25254.96343621,20887.46170772,192633661.47646037,262404,4367.501728490002,
2022-01-15,819060,1.775752274618,7.47314692,11394.45644649,10623.73997652,201114388.49182567,234931,770.7164699699988,
2022-01-16,768912,1.774015355513,6.44259112,8431.53057591,10962.12789276,212018180.61795348,217903,-2530.5973168500004,
2022-01-17,963405,1.73630676024,9.08316192,21879.51990679,29537.71773356,195056726.58722284,258684,-7658.19782677,
2022-01-18,906852,1.745911520714,9.49798342,19987.31325306,23868.81295752,164768413.57499513,267423,-3881.4997044599986,
2022-01-19,940760,1.721981468557,8.62767357,24234.04869097,29943.12654295,209595115.507191,267790,-5709.077851980001,
2022-01-20,944092,1.681574639726,10.06682072,33934.31061335,26870.66102368,204748985.28566605,272287,7063.649589669996,
2022-01-21,1017544,1.514790775018,12.3040866,57541.2042352,43760.21109475,176007153.4708342,272514,13780.993140450002,
2022-01-22,980566,1.455165902925,10.88333485,38182.29496902,38519.96297905,177474950.51551133,246984,-337.66801003,
2022-01-23,764279,1.508378975549,7.83339096,25204.49927767,22016.7172351,186746029.7638628,208492,3187.7820425699974,
2022-01-24,967257,1.526343091945,11.86241961,57850.3176155,51837.1196652,198665989.06991372,271583,6013.197950299997,
2022-01-25,892344,1.538880544803,10.76605985,27861.61707436,27539.14495103,201314869.1276132,266941,322.4721233300006,
2022-01-26,872302,1.534660000135,11.93312823,29294.43354402,35515.9032098,172177190.40011233,258696,-6221.469665780001,
2022-01-27,894323,1.543763850705,11.54107331,27527.59095893,39301.99077094,173501629.47536534,252850,-11774.39981201,
2022-01-28,953545,1.576577931046,12.70496368,33418.21249514,30989.36143393,203963747.2781192,266473,2428.8510612099963,
2022-01-29,800040,1.592485103381,12.01508061,24889.37317986,38680.56578999,197341548.08746725,227066,-13791.192610130005,
2022-01-30,780477,1.589486377439,10.78983977,38212.81703791,31243.60202049,193368228.9545148,208908,6969.215017419996,
2022-01-31,993797,1.609690053329,13.30488518,24010.73903999,25918.18718199,189394909.8215623,262993,-1907.448142000001,
2022-02-01,1058396,1.61452774476,14.34357795,26950.57627256,23788.62672158,203963747.2781192,274556,3161.94955098,
2022-02-02,954043,1.539179072383,12.17571845,18229.08427724,19520.59718586,202639308.20286623,275434,-1291.5129086199995,
2022-02-03,931571,1.544771260316,10.76295598,25725.99589796,23264.2083367,194692668.02976775,267726,2461.78756126,
2022-02-04,885216,1.709053357873,14.3240853,25031.15124995,24219.50955394,172457231.3989618,249753,811.6416960099996,
2022-02-05,951087,1.726159971835,13.64650025,13264.00890583,15240.13149329,157888392.03489855,253867,-1976.1225874600004,
2022-02-06,891700,1.760874145144,10.37575597,17488.61240921,12405.84394232,206979739.90370575,221803,5082.76846689,
2022-02-07,927917,1.821609827046,14.56867495,26721.61881544,31787.92393645,180443875.51955137,262908,-5066.305121009998,
2022-02-08,1014770,1.831529736531,14.64817444,32531.73118705,34364.93121956,204326153.2742321,277455,-1833.200032509998,
