date,active_addresses,mvrv,fees_native,exchange_inflow,exchange_outflow,hashrate,tx_count,exchange_netflow
2022-01-01,581310,1.589122424097,8173.678752197147,119353.79067686586,151794.00267081583,878.57352019,1180989,-32440.211993949968
2022-01-02,551998,1.611689295707,10295.01465154522,96461.68450045517,137346.87142022053,897.88228848,1158900,-40885.18691976536
2022-01-03,591354,1.589667892724,10537.854257812518,157677.28553522617,170502.19855777937,910.62695036,1209173,-12824.913022553199
2022-01-04,601544,1.60131135617,13243.289966541968,184233.48650937385,228367.63356071117,926.98221746,1221316,-44134.14705133732
2022-01-05,632107,1.520192827414,14676.050525821633,223520.29489316064,238541.16990711293,919.10416125,1249628,-15020.875013952289
2022-01-06,607697,1.479652709139,13357.220186271295,318079.1497089324,324234.46684805595,900.61941717,1212495,-6155.317139123566
2022-01-07,589283,1.412036013464,14991.46353856454,367349.2062200351,347721.22472116066,882.70145062,1188490,19627.981498874433
2022-01-08,596125,1.378343882824,11879.025562376628,198100.00078592973,192547.23367722463,887.19687264,1183873,5552.7671087050985
2022-01-09,534489,1.401598790128,15264.773168399026,130118.06575715671,138813.9640148937,935.49763381,1108322,-8695.898257736975
2022-01-10,524870,1.377075550056,20877.386112368924,299825.1309172846,268836.77725762984,898.78513065,1233195,30988.353659654735
2022-01-11,591386,1.435530346022,18392.75864672189,230346.27261585204,217616.8251035869,909.60795667,1277649,12729.44751226515
2022-01-12,634922,1.481299097411,19495.385463331277,262809.7686526315,297784.2681439786,922.91972168,1283346,-34974.49949134712
2022-01-13,658808,1.440390613729,16461.301924998963,474320.8674676583,252361.2230018083,916.09764487,1282921,221959.64446585
2022-01-14,593126,1.462013120562,18664.632509562784,195498.64101792916,231179.14583177568,922.35150936,1218460,-35680.50481384652
2022-01-15,616538,1.470791997292,13418.88190904917,133740.0733230999,132909.2073704848,895.90661049,1174849,830.8659526151023
2022-01-16,591290,1.477549869623,13079.732370371068,116196.15495418353,125004.17361007966,908.71733762,1162954,-8808.018655896129
2022-01-17,592963,1.429403086454,14432.452930912796,236351.77219290644,244318.82921169576,915.91065756,1198719,-7967.057018789317
2022-01-18,584159,1.413496866313,12207.467177508708,188880.5387773869,180449.74634911085,936.98810676,1169526,8430.792428276036
2022-01-19,606823,1.409070858808,12636.500451843587,261981.87339515888,376675.55714556976,922.74596774,1223143,-114693.68375041088
2022-01-20,591925,1.37672254684,14882.163948104804,203496.63820356145,220737.9168295224,926.6966239,1190018,-17241.278625960957
2022-01-21,567601,1.213208819024,18182.71594503368,610877.0670119607,509839.40684970334,924.98923272,1189898,101037.66016225732
2022-01-22,566830,1.155968086506,16293.981140901627,469801.4684684934,469218.37281680416,955.02938338,1204920,583.0956516892184
2022-01-23,541674,1.211801860401,12211.089908643684,237004.16466389937,230718.39525084352,944.65176604,1077884,6285.769413055852
2022-01-24,550404,1.179112079351,14013.314179536428,422668.1760552474,472333.839902085,930.51786932,1147109,-49665.66384683765
2022-01-25,571545,1.190141405183,13903.459038718143,315268.23948433355,360948.016446226,915.15228474,1177640,-45679.776961892436
2022-01-26,559574,1.197375929314,13917.218814867212,346629.56057052343,384605.6254871407,941.73119462,1146116,-37976.064916617295
2022-01-27,537711,1.178841515893,15283.1547941818,389102.051426843,336299.29325977655,944.61834735,1133684,52802.75816706644
2022-01-28,563345,1.233770215634,13758.048801239735,277136.9492419431,316357.8610475624,933.87152419,1137559,-39220.91180561931
2022-01-29,564639,1.253308852252,11558.534002557177,207846.61009747145,182501.7718910626,940.42719864,1147157,25344.838206408836
2022-01-30,581901,1.261024258313,12824.1093426727,374602.44471857033,167367.5598377332,949.00099098,1183850,207234.88488083714
2022-01-31,603862,1.291356549369,11886.962950351655,262661.6820499704,271119.5627214942,939.43949513,1177345,-8457.880671523802
2022-02-01,596580,1.332830973677,15307.636712376088,249624.867247648,281913.5515388753,959.27011824,1173199,-32288.684291227313
2022-02-02,582512,1.291181518663,14982.708663263627,217034.12552526715,212563.6560168704,961.59520154,1152665,4470.469508396753
2022-02-03,564022,1.286310378165,12051.656487164988,313198.11956274405,288201.81761614187,918.09109201,1111215,24996.30194660218
2022-02-04,600857,1.401955939056,10738.634640736997,280475.0178990692,255362.41237066465,953.41987514,1168994,25112.60552840453
2022-02-05,664334,1.418887795014,13628.2584448384,155213.93735050765,157050.27894255499,942.83354189,1235023,-1836.3415920473344
2022-02-06,631736,1.438813946666,7528.103780635271,111876.92883719115,101813.63884089018,972.29899502,1173884,10063.28999630097
2022-02-07,607608,1.470835205318,11457.29373379594,283920.36886268074,328272.8547484329,942.63280783,1163338,-44352.48588575213
2022-02-08,610323,1.462785747692,8957.799182027551,286022.5701702111,259521.5405753639,954.69809515,1180780,26501.029594847176
