datetime,usdt_mcap,usdc_mcap,total_stable_mcap
2025-04-23 00:00:00,144787216371.0264,61589269101.35528,206376485472.38168
2025-04-24 00:00:00,145334994442.8229,61896921299.12466,207231915741.94757
2025-04-25 00:00:00,145704892662.22678,62129850660.586266,207834743322.81305
2025-04-26 00:00:00,146102824559.95065,62325968054.99818,208428792614.94882
2025-04-27 00:00:00,147176227949.38904,62251662906.80433,209427890856.19336
2025-04-28 00:00:00,147177522305.55164,62076749988.76833,209254272294.31998
2025-04-29 00:00:00,147276031291.01443,62026261648.921,209302292939.93542
2025-04-30 00:00:00,148006012381.16373,62142665088.87474,210148677470.03845
2025-05-01 00:00:00,148428458921.78488,61508869555.16433,209937328476.94922
2025-05-02 00:00:00,148729502512.55002,61469063386.18792,210198565898.73795
2025-05-03 00:00:00,148960089669.36575,61520122153.8279,210480211823.19366
2025-05-04 00:00:00,149216918792.02405,61504588129.61178,210721506921.63583
2025-05-05 00:00:00,149359909126.67517,61502292587.1267,210862201713.80188
2025-05-06 00:00:00,149346610972.1294,61786628299.92093,211133239272.05032
2025-05-07 00:00:00,149419951385.11246,60949351180.20576,210369302565.3182
2025-05-08 00:00:00,149457054005.27136,60947364928.44116,210404418933.71252
2025-05-09 00:00:00,149493872634.72855,60867341067.19171,210361213701.92026
2025-05-10 00:00:00,149743084522.3816,60689997043.40309,210433081565.78467
2025-05-11 00:00:00,149889745922.2353,60800003218.424,210689749140.6593
2025-05-12 00:00:00,149905101863.97977,60801300532.30528,210706402396.28503
2025-05-13 00:00:00,150062819973.57834,60886438189.638725,210949258163.21707
2025-05-14 00:00:00,150076010701.81958,60861380673.33633,210937391375.1559
2025-05-15 00:00:00,150363832522.01163,60631968614.49602,210995801136.50763
2025-05-16 00:00:00,150686295171.93018,60575195332.76094,211261490504.6911
2025-05-17 00:00:00,151086450912.1188,60805371271.162575,211891822183.28137
2025-05-18 00:00:00,151256967601.13028,60894170790.318344,212151138391.4486
2025-05-19 00:00:00,151335913569.9966,60855229769.997635,212191143339.99426
2025-05-20 00:00:00,151397243586.7935,60617499885.70176,212014743472.49524
2025-05-21 00:00:00,151623683545.6729,60660002910.37936,212283686456.05228
2025-05-22 00:00:00,151965145889.9434,61178036077.039345,213143181966.98273
2025-05-23 00:00:00,152429358067.93,61212203672.456055,213641561740.38605
2025-05-24 00:00:00,152504474726.0133,61723721871.26919,214228196597.2825
2025-05-25 00:00:00,152731781250.04868,61721143708.71242,214452924958.7611
2025-05-26 00:00:00,152785634650.1942,61701492712.77306,214487127362.9673
2025-05-27 00:00:00,152773329685.2376,61543750452.91037,214317080138.14798
2025-05-28 00:00:00,152821712873.4083,61392676922.02948,214214389795.43777
2025-05-29 00:00:00,152939615248.6882,61255011415.83986,214194626664.52808
2025-05-30 00:00:00,153012882316.87454,61116764897.10546,214129647213.98
2025-05-31 00:00:00,153119221148.4424,61040432498.467636,214159653646.91003
2025-06-01 00:00:00,153082120332.94412,60965783559.03569,214047903891.9798
2025-06-02 00:00:00,153153034403.6833,60910872304.54951,214063906708.2328
2025-06-03 00:00:00,153206457899.89407,60931561094.54832,214138018994.44238
2025-06-04 00:00:00,153397794279.6906,61456111625.28465,214853905904.97528
2025-06-05 00:00:00,153785541890.78516,61503892540.73508,215289434431.52023
2025-06-06 00:00:00,153888799244.76022,61192830801.60007,215081630046.3603
2025-06-07 00:00:00,154223964621.06296,61108371805.51531,215332336426.57828
2025-06-08 00:00:00,154535435745.18573,61079859748.93986,215615295494.12558
2025-06-09 00:00:00,154813893920.00262,61069252946.978134,215883146866.98077
2025-06-10 00:00:00,154815100257.24564,61025956000.80089,215841056258.0465
2025-06-11 00:00:00,155191377114.92856,60981759148.884056,216173136263.81262
2025-06-12 00:00:00,155060034616.54254,61234323266.67027,216294357883.21283
2025-06-13 00:00:00,155229279159.86356,61083044087.78417,216312323247.64774
2025-06-14 00:00:00,155241505784.7768,61668532113.59335,216910037898.37015
2025-06-15 00:00:00,155516573446.70776,61655886363.366,217172459810.07376
2025-06-16 00:00:00,155452141769.05713,61627304085.52391,217079445854.58105
2025-06-17 00:00:00,155544907963.97885,61627132410.14026,217172040374.1191
2025-06-18 00:00:00,155479539457.37143,61546152285.123375,217025691742.4948
2025-06-19 00:00:00,155588301934.80716,61509240699.84915,217097542634.6563
2025-06-20 00:00:00,155728724343.18478,61352899060.46884,217081623403.65363
2025-06-21 00:00:00,155943659515.59326,61254399466.51995,217198058982.11322
2025-06-22 00:00:00,155914735505.37784,61240656839.42593,217155392344.80377
2025-06-23 00:00:00,155823535902.08963,61250974946.83776,217074510848.9274
2025-06-24 00:00:00,156064607850.97464,61585219083.56823,217649826934.54288
2025-06-25 00:00:00,156407434582.08188,61904408505.33331,218311843087.4152
2025-06-26 00:00:00,156766999298.43674,61782873643.89733,218549872942.33408
2025-06-27 00:00:00,157271724601.06177,61706915980.07253,218978640581.1343
2025-06-28 00:00:00,157533488924.85007,61720216218.723915,219253705143.57397
2025-06-29 00:00:00,157534240466.23904,61708746298.92839,219242986765.16742
2025-06-30 00:00:00,157596199393.19992,61672471232.72115,219268670625.92108
2025-07-01 00:00:00,157725452770.4913,61486603678.35881,219212056448.8501
2025-07-02 00:00:00,157728281420.36035,61645964432.484375,219374245852.84473
2025-07-03 00:00:00,157879549490.15512,61785325736.27592,219664875226.43103
2025-07-04 00:00:00,158312598178.93857,62127723751.58684,220440321930.5254
2025-07-05 00:00:00,158456545511.90213,62138849073.54913,220595394585.45126
2025-07-06 00:00:00,158621120525.43677,62207910534.00092,220829031059.43768
2025-07-07 00:00:00,158634407829.99646,62222414420.9865,220856822250.98297
2025-07-08 00:00:00,158583008856.6118,61990294822.25617,220573303678.86795
2025-07-09 00:00:00,158677174828.34338,61957203749.10844,220634378577.4518
2025-07-10 00:00:00,158706387150.6509,62375182383.813385,221081569534.4643
2025-07-11 00:00:00,158789684206.1827,62830227713.91529,221619911920.098
2025-07-12 00:00:00,159124450417.99405,63513728765.47138,222638179183.46542
2025-07-13 00:00:00,159432153628.75653,63624539540.2064,223056693168.96292
2025-07-14 00:00:00,159532935861.2492,63645701670.76146,223178637532.01068
2025-07-15 00:00:00,159549816472.643,63390464631.81877,222940281104.4618
2025-07-16 00:00:00,159888845413.1027,62402203816.18168,222291049229.28436
2025-07-17 00:00:00,160046475251.48993,63483508990.46475,223529984241.95468
2025-07-18 00:00:00,160355259560.11707,64720387308.81224,225075646868.92932
2025-07-19 00:00:00,160901686887.3535,64791644135.09668,225693331022.45016
2025-07-20 00:00:00,161623516431.03748,64595341290.34144,226218857721.3789
2025-07-21 00:00:00,161657924155.92453,64467724533.03223,226125648688.95676
2025-07-22 00:00:00,161714313907.55716,64758592638.76931,226472906546.32648
2025-07-23 00:00:00,161998859726.48193,64754306762.01228,226753166488.4942
2025-07-24 00:00:00,162001064184.97644,64663762024.72109,226664826209.69754
2025-07-25 00:00:00,162581045547.76492,65119884120.81992,227700929668.58484
2025-07-26 00:00:00,163050890399.23785,64024850565.97002,227075740965.2079
2025-07-27 00:00:00,163335949202.88684,64270649511.54688,227606598714.43372
2025-07-28 00:00:00,163611552679.87692,64285647872.1984,227897200552.07532
2025-07-29 00:00:00,163590746762.937,63880072658.345825,227470819421.28284
2025-07-30 00:00:00,163622824216.23938,63804337172.67573,227427161388.9151
2025-07-31 00:00:00,163743255734.61145,64003380358.56574,227746636093.1772
2025-08-01 00:00:00,163726923788.97968,64024628286.23601,227751552075.2157
2025-08-02 00:00:00,163828186245.7113,64250322579.40557,228078508825.11688
2025-08-03 00:00:00,163859964337.55692,64188824575.57581,228048788913.13272
2025-08-04 00:00:00,163898336148.0803,64165551880.33778,228063888028.4181
2025-08-05 00:00:00,163892973829.06534,64362866856.16951,228255840685.23486
2025-08-06 00:00:00,163881457760.11612,64571350833.30457,228452808593.4207
2025-08-07 00:00:00,163849751258.64297,64649513857.36945,228499265116.01242
2025-08-08 00:00:00,164062882581.09888,64762663626.17614,228825546207.27502
2025-08-09 00:00:00,164348036577.36246,65267428113.77714,229615464691.1396
2025-08-10 00:00:00,164510960910.42734,65279194197.36424,229790155107.79156
2025-08-11 00:00:00,164514579394.95172,65200159668.74354,229714739063.69525
2025-08-12 00:00:00,164531428220.9301,65582516791.05663,230113945011.98676
2025-08-13 00:00:00,164582366980.36435,65600277949.560524,230182644929.92487
2025-08-14 00:00:00,165067250309.70636,66411009283.75756,231478259593.46393
2025-08-15 00:00:00,165136555130.99542,67666316828.349495,232802871959.3449
2025-08-16 00:00:00,165965167893.58472,68162345082.25059,234127512975.8353
2025-08-17 00:00:00,166492984191.68777,68175449428.10462,234668433619.7924
2025-08-18 00:00:00,166762498064.89728,68158258982.026955,234920757046.92422
2025-08-19 00:00:00,166805473910.4239,68278690130.78527,235084164041.20917
2025-08-20 00:00:00,167025249464.9712,67919335078.96813,234944584543.93933
2025-08-21 00:00:00,167022764187.69885,67501312728.84719,234524076916.54605
2025-08-22 00:00:00,167022463443.8843,67141855554.203,234164318998.0873
2025-08-23 00:00:00,167015858355.2277,67542011449.1576,234557869804.38528
2025-08-24 00:00:00,167091079556.32883,67542228476.65118,234633308032.98
2025-08-25 00:00:00,167139162109.3019,67454609360.232,234593771469.5339
2025-08-26 00:00:00,167189640747.67313,68044691544.51479,235234332292.18793
2025-08-27 00:00:00,167227656284.75525,69011841841.88863,236239498126.64386
2025-08-28 00:00:00,167227040389.9868,69340394517.07306,236567434907.05984
2025-08-29 00:00:00,167350893321.808,70620028285.78723,237970921607.59525
2025-08-30 00:00:00,167393291686.28262,71541280531.89722,238934572218.17984
2025-08-31 00:00:00,167623030177.18237,71538548184.44302,239161578361.6254
2025-09-01 00:00:00,168033937030.53226,71549491496.40121,239583428526.93347
2025-09-02 00:00:00,168042730226.59213,71513530485.20557,239556260711.7977
2025-09-03 00:00:00,168030536519.75308,72146971879.89037,240177508399.64343
2025-09-04 00:00:00,168208879799.11713,72672911069.14882,240881790868.26593
2025-09-05 00:00:00,168341103332.74863,72570847322.3635,240911950655.11212
2025-09-06 00:00:00,168571448655.179,72464557041.88847,241036005697.06744
2025-09-07 00:00:00,168935354719.06802,72547699909.17642,241483054628.24445
2025-09-08 00:00:00,168873494952.15576,72499319914.56313,241372814866.71887
2025-09-09 00:00:00,168888299256.7979,72425624280.22612,241313923537.02405
2025-09-10 00:00:00,168935638241.06598,72661309825.54846,241596948066.61444
2025-09-11 00:00:00,169143657795.09875,72353022867.15466,241496680662.25342
2025-09-12 00:00:00,169443595938.2991,72437004729.26895,241880600667.56805
2025-09-13 00:00:00,169647322430.77823,72975110549.91373,242622432980.69196
2025-09-14 00:00:00,170091547144.3486,73169475841.81604,243261022986.16464
2025-09-15 00:00:00,170336524837.73416,73194785399.01404,243531310236.7482
2025-09-16 00:00:00,170303334835.32635,73194539085.54532,243497873920.87167
2025-09-17 00:00:00,170858172815.05698,73610319439.59213,244468492254.6491
