rank,feature,type,composite_score
1,logret_240h,BASE,0.9299999999999999
2,m_sp500_vol20d,MACRO,0.9112499999999999
3,m_vix_zscore,MACRO,0.89
4,m_sp500_zscore,MACRO,0.8875
5,logret_24h,BASE,0.8800000000000001
6,volatility_48h,BASE,0.87
7,xa_sp500_relstr5d,CROSS-ASSET,0.8450000000000001
8,atr_pct_14h,BASE,0.8350000000000001
9,sma20_to_sma50h,BASE,0.8025
10,zscore_50h,BASE,0.7825000000000001
11,xa_sp500_corr30d,CROSS-ASSET,0.7725
12,spread_120h_8h,BASE,0.7675000000000001
13,xa_nasdaq_corr10d,CROSS-ASSET,0.7662499999999999
14,m_gold_vol20d,MACRO,0.7449999999999999
15,fg_zscore,SENTIMENT,0.7437500000000001
