coin,best_window,best_combo,models,return_pct,combined_score,feature_set,n_features,optimal_features,horizon,gamma,rank,sampler
ETH,200,RF+LGBM,RF+LGBM,3.72,2.2993,D,17,"logret_120h,volatility_48h,xa_sp500_relstr5d,gk_volatility_14h,adx_14h,minus_di_14h,bb_position_20h,price_to_sma100h,xa_nasdaq_relstr5d,xa_btc_usd_relstr5d,logret_240h,spread_240h_24h,m_sp500_chg1d,vol_ratio_12_48,logret_72h,hour_cos,plus_di_14h",10,0.995,1,Grid
ETH,300,XGB+LGBM,XGB+LGBM,2.07,2.1901,D,10,"logret_120h,volatility_48h,xa_sp500_relstr5d,gk_volatility_14h,adx_14h,minus_di_14h,bb_position_20h,price_to_sma100h,xa_nasdaq_relstr5d,xa_btc_usd_relstr5d",10,0.997,2,Grid
ETH,250,RF+XGB,RF+XGB,4.5,2.1417,D,30,"logret_120h,volatility_48h,xa_sp500_relstr5d,gk_volatility_14h,adx_14h,minus_di_14h,bb_position_20h,price_to_sma100h,xa_nasdaq_relstr5d,xa_btc_usd_relstr5d,logret_240h,spread_240h_24h,m_sp500_chg1d,vol_ratio_12_48,logret_72h,hour_cos,plus_di_14h,volatility_12h,rsi_14h,price_to_sma20h,m_eurusd_chg1d,hour_sin,gk_volatility_48h,xa_dax_relstr5d,logret_48h,logret_24h,m_vix_vol5d,price_accel_24h,m_eurusd_vol5d,sma20_to_sma50h",10,0.999,3,Grid
ETH,150,RF+XGB,RF+XGB,2.29,1.6259,D,10,"logret_120h,volatility_48h,xa_sp500_relstr5d,gk_volatility_14h,adx_14h,minus_di_14h,bb_position_20h,price_to_sma100h,xa_nasdaq_relstr5d,xa_btc_usd_relstr5d",10,0.997,4,Grid
ETH,150,RF+XGB,RF+XGB,1.87,1.5629,D,10,"logret_120h,volatility_48h,xa_sp500_relstr5d,gk_volatility_14h,adx_14h,minus_di_14h,bb_position_20h,price_to_sma100h,xa_nasdaq_relstr5d,xa_btc_usd_relstr5d",10,0.995,5,Grid
ETH,200,RF+XGB,RF+XGB,1.21,1.5137,D,20,"logret_120h,volatility_48h,xa_sp500_relstr5d,gk_volatility_14h,adx_14h,minus_di_14h,bb_position_20h,price_to_sma100h,xa_nasdaq_relstr5d,xa_btc_usd_relstr5d,logret_240h,spread_240h_24h,m_sp500_chg1d,vol_ratio_12_48,logret_72h,hour_cos,plus_di_14h,volatility_12h,rsi_14h,price_to_sma20h",10,0.997,6,Grid
ETH,300,RF+XGB,RF+XGB,4.27,6.321,D,13,"logret_120h,adx_14h,logret_72h,volatility_48h,gk_volatility_14h,xa_sp500_relstr5d,spread_240h_24h,gk_volatility_48h,logret_240h,volatility_12h,xa_nasdaq_relstr5d,m_sp500_chg1d,xa_btc_usd_relstr5d",12,0.999,1,Grid
ETH,300,RF+XGB,RF+XGB,3.75,5.3152,D,13,"logret_120h,adx_14h,logret_72h,volatility_48h,gk_volatility_14h,xa_sp500_relstr5d,spread_240h_24h,gk_volatility_48h,logret_240h,volatility_12h,xa_nasdaq_relstr5d,m_sp500_chg1d,xa_btc_usd_relstr5d",12,0.997,2,Grid
ETH,300,XGB+LGBM,XGB+LGBM,4.12,3.3952,D,17,"logret_120h,adx_14h,logret_72h,volatility_48h,gk_volatility_14h,xa_sp500_relstr5d,spread_240h_24h,gk_volatility_48h,logret_240h,volatility_12h,xa_nasdaq_relstr5d,m_sp500_chg1d,xa_btc_usd_relstr5d,hour_cos,logret_6h,logret_24h,xa_dax_relstr5d",12,0.999,3,Grid
ETH,300,RF+XGB,RF+XGB,5.18,2.2935,D,17,"logret_120h,adx_14h,logret_72h,volatility_48h,gk_volatility_14h,xa_sp500_relstr5d,spread_240h_24h,gk_volatility_48h,logret_240h,volatility_12h,xa_nasdaq_relstr5d,m_sp500_chg1d,xa_btc_usd_relstr5d,hour_cos,logret_6h,logret_24h,xa_dax_relstr5d",12,0.997,4,Grid
