coin,best_window,best_combo,models,return_pct,accuracy,combined_score,feature_set,n_features,optimal_features,horizon,gamma,sampler
XRP,151,XGB+LGBM,XGB+LGBM,5.28,66.7,3.5181,D,11,"hour_cos,xa_dax_relstr5d,pysr_2,xa_eth_usd_relstr5d,hour_sin,logret_240h,m_nasdaq_chg1d,fg_chg5d,pysr_4,volatility_48h,m_dxy_chg1d",5,0.9941,Refined
XRP,168,XGB+LGBM,XGB+LGBM,7.76,50.0,3.879,D,7,"xa_dax_relstr5d,hour_cos,logret_240h,m_nasdaq_chg1d,xa_sp500_relstr5d,fg_chg5d,pysr_5",6,0.9986,Refined
XRP,86,RF+XGB,RF+XGB,4.01,72.7,2.9166,D,14,"hour_cos,logret_240h,pysr_3,fg_chg5d,m_sp500_chg1d,xa_eth_usd_relstr5d,pysr_2,sma20_to_sma50h,m_nasdaq_chg1d,fg_chg10d,price_to_sma50h,price_to_sma100h,m_vix_chg5d,pysr_5",7,0.9938,Refined
XRP,150,XGB+LGBM,XGB+LGBM,9.99,77.8,7.7681,D,17,"adx_14h,pysr_5,pysr_1,volatility_12h,fg_zscore,pysr_3,zscore_50h,m_us10y_chg5d,price_accel_24h,gk_volatility_48h,hour_cos,bb_position_20h,price_to_sma100h,logret_8h,volatility_48h,logret_120h,logret_6h",8,0.995,Grid
SOL,251,XGB+LGBM,XGB+LGBM,9.03,85.7,7.7388,D,13,"logret_120h,pysr_5,plus_di_14h,pysr_4,m_vix_chg1d,m_sp500_chg1d,fg_chg5d,m_nasdaq_chg1d,logret_6h,pysr_2,hour_cos,stoch_k_14h,xa_eth_usd_corr30d",4,0.9975,Refined
LINK,109,RF+XGB,RF+XGB,-2.28,60.0,-2.2791,D,25,"xa_sp500_relstr5d,m_sp500_chg1d,xa_dax_relstr5d,xa_eth_usd_relstr5d,hour_cos,adx_14h,xa_nasdaq_relstr5d,m_nasdaq_chg1d,gk_volatility_48h,volatility_12h,m_vix_chg1d,stoch_k_14h,logret_7h,price_to_sma100h,atr_pct_14h,logret_12h,spread_120h_12h,minus_di_14h,price_to_sma50h,logret_120h,m_gold_chg1d,price_accel_24h,sma20_to_sma50h,hour_sin,logret_24h",4,0.9971,Refined
BTC,163,XGB+LGBM,XGB+LGBM,9.22,75.0,6.9187,D,24,"pysr_5,pysr_4,price_to_sma100h,hour_cos,m_sp500_chg1d,m_nasdaq_chg1d,m_dxy_chg1d,dow_sin,pysr_3,xa_sp500_corr10d,volatility_12h,fg_chg10d,logret_72h,intraday_range,volatility_48h,m_gold_chg5d,m_dxy_chg5d,logret_2h,xa_eth_usd_corr30d,logret_24h,zscore_50h,hour_sin,xa_sp500_relstr5d,minus_di_14h",6,0.9995,Refined
BTC,239,XGB+LGBM,XGB+LGBM,4.61,80.0,3.691,D,9,"logret_120h,xa_dax_relstr5d,xa_sp500_relstr5d,m_nasdaq_chg1d,price_to_sma100h,m_sp500_chg1d,xa_nasdaq_relstr5d,hour_cos,vol_ratio_12_48",10,0.9943,Refined
BTC,250,XGB+LGBM,XGB+LGBM,3.63,80.0,2.9034,D,10,"gk_volatility_48h,logret_72h,volatility_48h,logret_240h,xa_dax_relstr5d,spread_240h_24h,spread_48h_4h,logret_120h,m_vix_chg1d,gk_volatility_14h",12,0.995,Grid
BTC,242,RF+LGBM,RF+LGBM,4.06,44.4,1.8047,D,8,"xa_dax_relstr5d,logret_120h,xa_sp500_relstr5d,price_to_sma100h,m_nasdaq_chg1d,m_sp500_chg1d,m_dxy_chg5d,logret_24h",14,0.9987,Refined
